time,elpsec,O2Hb_1,HHb_1,TOI_1,nTHI_1,O2Hb_2,HHb_2,TOI_2,nTHI_2,O2Hb_3,HHb_3,TOI_3,nTHI_3,O2Hb_4,HHb_4,TOI_4,nTHI_4,Comment
18:25,4642.83,5.65,-7.43,68.3,1.028,5.38,-4.94,67.4,0.992,5.34,-2.57,69.1,0.938,2.71,-0.86,81.2,1.12,
18:25,4643.03,5.1,-8.13,69.2,1.006,5.08,-5.69,67.1,0.986,4.89,-3.04,69.8,0.924,3.23,-0.49,81.6,1.145,
18:25,4643.23,8.15,-5.93,69.5,1.033,7.63,-4.4,67.9,1.027,5.85,-2.73,70.4,0.93,3.54,-0.51,81.9,1.125,
18:25,4643.43,10.77,-4.78,70.4,1.05,8.98,-3.79,68.7,1.046,5.69,-3.02,70,0.916,2.98,-1.01,82,1.101,
18:25,4643.63,13.92,-2.52,69.9,1.054,8.4,-3.88,69.1,1.047,4.75,-3.3,68.2,0.908,0.44,-2.97,81.8,0.995,
18:25,4643.83,15.22,-1.38,70.1,1.06,7.54,-3.8,69.2,1.031,4.87,-3.95,70.6,0.964,1.45,-2.56,82.1,0.974,
18:25,4644.03,10.9,-4.94,70.1,1.025,7.32,-4.51,69.3,1.021,5.21,-3.52,69.6,0.931,2.29,-1.8,81.9,1.019,
18:25,4644.23,4.77,-9.33,69.2,1.01,6.92,-4.83,68.7,0.986,5.99,-2.37,69,0.931,2.55,-0.88,81.3,1.123,
18:25,4644.43,5.95,-8.81,69.8,1.022,5.53,-6.34,68.6,0.995,5.36,-3.05,70.6,0.93,3.33,-0.42,81.6,1.135,
18:25,4644.63,9.88,-6.25,70.7,1.042,8.64,-4.58,68.6,1.039,5.95,-2.79,69.9,0.915,3.5,-0.5,81.8,1.127,
18:25,4644.82,12.44,-5.13,71,1.046,8.93,-4.46,69.4,1.05,5.49,-3.02,69.7,0.929,2.2,-1.44,81.7,1.078,
18:25,4645.03,15.96,-2.66,71.6,1.055,8.35,-4.2,69.3,1.042,4.52,-4.16,70.1,0.926,0.29,-3.25,82,0.973,
18:25,4645.23,14.26,-3.86,71,1.037,7.65,-4.61,69.3,1.027,4.75,-3.77,69.3,0.966,2.07,-2.19,82.3,0.989,
18:25,4645.43,7.74,-8.41,70.3,1.025,7.23,-5.19,69.3,0.992,5.64,-2.99,69.5,0.939,2.58,-1.23,81.7,1.076,
18:25,4645.62,5.42,-10.14,70.2,1.006,6.11,-6.2,68.7,0.986,5.29,-3.14,70,0.907,3.08,-0.56,81.7,1.143,
18:25,4645.82,9.08,-7.64,71.2,1.033,8.02,-5.39,69.3,1.04,6.08,-2.84,71.4,0.946,3.63,-0.38,81.9,1.127,
18:25,4646.02,12.09,-6.05,71.5,1.044,9.31,-4.69,69.8,1.047,5.56,-3.45,71,0.902,2.69,-1.13,81.9,1.113,
18:25,4646.22,15.63,-3.82,72,1.044,8.82,-4.68,70.1,1.048,4.63,-3.93,69.8,0.923,0.29,-3.18,82,0.992,
18:25,4646.42,15.36,-3.68,71.2,1.041,8.02,-4.89,70.3,1.038,5.19,-4.33,72.5,0.963,1.93,-2.38,82.5,0.987,
18:25,4646.62,8.84,-8.37,71,1.02,7.82,-5.2,69.9,1.001,6.04,-3.32,71.2,0.941,2.75,-1.3,81.9,1.06,
18:25,4646.82,5.92,-10.43,70.3,1.003,5.82,-6.88,69.7,0.979,5.22,-3.28,70.6,0.922,3.19,-0.55,81.7,1.133,
18:25,4647.02,8.96,-8.29,71.2,1.017,7.86,-5.87,69.6,1.033,5.7,-3.26,71.6,0.911,3.71,-0.35,82,1.123,
18:25,4647.22,12.02,-6.71,72,1.033,8.8,-5.25,69.9,1.032,5.5,-3.39,71.2,0.947,2.34,-1.31,81.8,1.109,
18:25,4647.42,15.82,-4.1,72.1,1.033,8.62,-5,70.4,1.039,4.83,-4.21,70.9,0.942,0.47,-3.17,82.2,0.992,
18:25,4647.62,14.68,-4.69,71.9,1.019,7.95,-5.51,71.6,1.022,5.15,-3.98,70.3,0.951,2.41,-2.14,82.6,0.994,
18:25,4647.82,7.48,-9.65,71.1,1.011,7.62,-5.8,70.5,0.979,6.04,-2.96,70.5,0.967,2.76,-1.16,81.8,1.079,
18:25,4648.02,6.27,-10.6,70.8,0.999,5.4,-7.59,70,0.975,5.08,-3.5,70.9,0.929,3.56,-0.36,81.8,1.129,
18:25,4648.22,9.92,-8.01,71.6,1.005,8.89,-5.7,70.7,1.013,6.27,-2.68,70.2,0.935,3.61,-0.55,82.1,1.121,
18:25,4648.42,12.66,-6.64,72.3,1.021,9.03,-5.99,72.5,1.023,5.22,-3.31,69.8,0.95,1.65,-1.94,82,1.056,
18:25,4648.62,16.2,-3.99,72.2,1.029,8.48,-5.66,72.5,1.027,4.67,-4.16,69.7,0.963,0.87,-3.16,82.5,0.973,
18:25,4648.82,11.58,-7.17,71.9,0.995,7.76,-6.03,71.7,0.994,5.37,-3.5,69.5,0.981,2.66,-1.83,82.5,1.02,
18:25,4649.02,5.7,-11.09,70.6,0.994,6.56,-6.83,70.4,0.952,5.36,-3.42,71.2,0.924,2.95,-0.77,81.7,1.123,
18:25,4649.22,7.82,-9.77,71.7,0.997,6.97,-7.08,71.1,1,5.64,-2.9,70.3,0.954,3.82,-0.33,82.1,1.124,
18:25,4649.42,11.11,-7.81,72.3,1.014,8.76,-5.96,71,1.015,5.39,-3.48,70.8,0.933,2.48,-1.32,82,1.109,
18:25,4649.62,14.86,-5.19,72.4,1.015,8.64,-5.89,72,1.02,4.48,-4.29,70.6,0.932,0.42,-3.13,82.1,1,
18:25,4649.82,14.22,-5.45,71.8,1.008,7.79,-5.9,71.2,1.013,5.3,-3.85,70.6,0.997,2.35,-2.22,82.6,0.994,
18:25,4650.02,7.05,-10.44,71.2,0.994,7.06,-6.64,71,0.964,5.72,-3.34,70.9,0.947,2.79,-1.18,81.9,1.085,
18:25,4650.22,6.32,-10.84,70.9,0.992,5.3,-7.9,70,0.978,4.84,-3.61,71,0.939,3.62,-0.36,81.9,1.129,
18:25,4650.42,9.98,-8.44,72,1.004,8.47,-6.07,70.3,1.007,5.77,-3.23,71.2,0.947,3.17,-0.87,82.2,1.121,
18:25,4650.62,13.61,-6.21,72.2,1.016,8.62,-5.96,71.4,1.025,4.53,-4.09,70.7,0.926,0.79,-2.68,82,1.035,
18:25,4650.82,15.73,-4.44,72.4,1.03,8.15,-5.96,72,1.02,4.95,-4.04,70.4,0.989,1.86,-2.53,82.6,0.983,
18:25,4651.02,8.9,-9.1,71.3,0.986,7.14,-6.32,70.3,0.979,5.48,-3.56,70.7,0.955,2.62,-1.54,82.1,1.042,
18:25,4651.22,6.07,-11.09,71,0.989,5.41,-7.94,70.5,0.971,4.83,-3.62,71.2,0.948,3.34,-0.54,81.9,1.129,
18:25,4651.42,9.36,-8.76,71.6,1.002,8.15,-6.35,70.9,1.006,5.7,-3.18,71.4,0.926,3.59,-0.55,82.1,1.123,
18:25,4651.62,12.38,-6.91,72,1.006,8.53,-6.05,70.9,1.025,4.33,-3.82,69.7,0.908,1.35,-2.14,82,1.058,
18:25,4651.82,16.02,-4.22,72.6,1.026,8.24,-5.79,71.3,1.024,4.65,-4.43,71.2,0.953,1.27,-2.86,82.5,0.978,
18:25,4652.02,10.26,-8.11,71.4,0.993,7.23,-6.43,70.5,0.991,5.44,-4.03,72.1,0.948,2.61,-1.69,82.2,1.027,
18:25,4652.22,6.38,-10.52,70.4,0.996,5.01,-7.9,69.8,0.967,4.12,-4,70.9,0.921,3.24,-0.64,81.8,1.113,
18:25,4652.42,8.54,-9.24,71.5,0.998,7.39,-6.7,70.3,1.012,5.6,-3.05,71.3,0.957,3.86,-0.33,82.1,1.122,
18:25,4652.62,12.04,-7.06,72,1.01,8.61,-6.03,70.8,1.028,4.59,-3.75,70.7,0.921,1.88,-1.71,81.9,1.089,
18:25,4652.82,15.85,-4.07,72.2,1.025,8.49,-5.77,71.7,1.035,4.22,-4.22,69.6,0.938,1.06,-2.82,82.2,0.985,
18:25,4653.02,11.05,-7.31,71.5,0.987,7.39,-6.36,70.8,0.998,5.15,-4.09,71.6,0.95,2.62,-1.67,82.2,1.019,
18:25,4653.22,6.27,-10.53,70.5,0.998,5.38,-7.58,69.5,0.97,4.51,-3.62,70.6,0.923,3.21,-0.68,81.8,1.114,
18:25,4653.42,8.27,-9.16,71.1,0.995,7.31,-6.64,69.9,1.015,5.41,-2.94,70.7,0.944,3.9,-0.28,82.1,1.126,
18:25,4653.62,11.77,-6.88,71.7,1.007,8.65,-5.76,70.1,1.025,5.08,-3.48,70.9,0.928,2.4,-1.38,81.9,1.085,
18:25,4653.82,15.8,-3.95,72.5,1.022,8.48,-5.7,71.3,1.033,4.49,-4.22,70.4,0.938,0.93,-2.84,82,0.984,
18:25,4654.02,11.3,-7.01,71.9,0.995,7.33,-6.38,70.8,0.999,5.03,-4.19,71.9,0.94,2.47,-1.68,82,1.026,
18:25,4654.22,5.92,-10.39,70.3,1.005,5.15,-7.74,69.9,0.967,4.06,-3.83,70.7,0.917,3.08,-0.67,81.6,1.115,
